,ID,Count
0,18288,411.71599420577206
1,18289,328.57090325193377
2,18290,278.07218644769296
3,18291,229.76111327203347
4,18292,193.3906233801353
5,18293,173.11650801291535
6,18294,186.14725484403016
7,18295,215.8816485114358
8,18296,248.60118799978207
9,18297,321.2470528432054
10,18298,455.9737076147627
11,18299,505.5066419475229
12,18300,510.862344743916
13,18301,451.81791637384583
14,18302,483.10341522272097
15,18303,477.0014259710928
16,18304,464.82671360333615
17,18305,475.6551837381196
18,18306,487.3616379378856
19,18307,517.1399308085405
20,18308,496.9536138478183
21,18309,463.85361459797997
22,18310,465.53641738919634
23,18311,454.5323504414167
24,18312,392.34643232492624
25,18313,313.1129795075312
26,18314,264.9900218037595
27,18315,218.95178799935434
28,18316,184.2923816322942
29,18317,164.97208087930193
30,18318,177.38978410596366
31,18319,205.7252955675874
32,18320,236.90551388854772
33,18321,306.1336864531304
34,18322,434.52200044287986
35,18323,481.7246118098076
36,18324,486.82835058685214
37,18325,430.56172226615695
38,18326,460.3753657233185
39,18327,454.5604502314399
40,18328,442.9585085306176
41,18329,453.2775432164451
42,18330,464.43325639031264
43,18331,492.8106017763386
44,18332,473.57396887215
45,18333,442.03118987303924
46,18334,443.63482364178276
47,18335,433.14845325834756
48,18336,377.9190926375869
49,18337,301.5992076373464
50,18338,255.24582447370153
51,18339,210.90050586611724
52,18340,177.51559312973956
53,18341,158.90573732758642
54,18342,170.86681750933852
55,18343,198.16037722783346
56,18344,228.1940384141303
57,18345,294.8765567322744
58,18346,418.5437832717348
59,18347,464.0106630193263
60,18348,468.92672741744116
61,18349,414.7291322087168
62,18350,443.44647014087377
63,18351,437.84538037580853
64,18352,426.6700645855587
65,18353,436.6096483413097
66,18354,447.3551442934729
67,18355,474.68899962178875
68,18356,456.15973503927637
69,18357,425.7768452345345
70,18358,427.32151027765804
71,18359,417.22074408262483
72,18360,262.6269404939534
73,18361,209.59003845078303
74,18362,177.37772782935025
75,18363,146.5608795196834
76,18364,123.36073519932083
77,18365,110.42820655081445
78,18366,118.74030814698556
79,18367,137.70739455172364
80,18368,158.57865695378797
81,18369,204.91827332008856
82,18370,290.8582164935256
83,18371,322.4544701746471
